epoch,step,vehicle_id,speed_kmh,accel_ms2,prox_m,wave_m,ai_score,category
1,180,cross_3,50.23,0.143,67.25,36.241,46.18,Normal
1,180,cross_4,50.21,-0.263,121.4,25.345,46.65,Normal
1,180,cross_5,43.89,6.192,179.86,6.228,64.28,Normal
1,183,cross_0,29.63,6.284,34.84,27.851,69.31,Normal
1,183,cross_1,48.32,6.581,32.46,33.404,75.03,Aggressive
1,183,cross_2,45.71,-1.293,37.25,36.118,55.02,Normal
1,183,cross_3,50.25,0.056,65.18,36.256,45.84,Normal
1,183,cross_4,50.3,0.265,118.42,26.556,46.68,Normal
1,183,cross_5,46.38,6.938,176.76,7.362,64.78,Normal
1,186,cross_0,32.09,6.831,39.69,27.057,65.69,Normal
1,186,cross_1,50.36,5.669,38.07,33.105,70.19,Aggressive
1,186,cross_2,45.57,-0.389,39.47,36.043,49.71,Normal
1,186,cross_3,50.17,-0.203,63.59,36.258,46.41,Normal
1,186,cross_4,50.27,-0.081,115.67,27.768,45.94,Normal
1,186,cross_5,48.57,6.078,173.59,8.552,65.24,Normal
1,189,cross_0,34.06,5.487,44.63,26.283,63.5,Normal
1,189,cross_1,50.27,-0.255,43.77,32.843,47.88,Normal
1,189,cross_2,45.77,0.544,42.34,35.953,48.71,Normal
1,189,cross_3,50.13,-0.108,62.54,36.257,46.02,Normal
1,189,cross_4,50.4,0.338,113.16,28.98,46.99,Normal
1,189,cross_5,50.32,4.853,170.41,9.793,65.04,Normal
1,192,cross_0,36.31,6.247,48.85,25.54,62.97,Normal
1,192,cross_1,50.27,-0.01,48.76,32.618,45.71,Normal
1,192,cross_2,45.97,0.57,44.84,35.85,47.83,Normal
1,192,cross_3,50.34,0.565,61.42,36.256,47.89,Normal
1,192,cross_4,50.2,-0.544,110.55,30.191,47.78,Normal
1,192,cross_5,50.24,-0.208,167.11,11.063,46.44,Normal
1,195,cross_0,38.59,6.329,52.38,24.846,63.31,Normal
1,195,cross_1,50.21,-0.164,53.08,32.431,46.26,Normal
1,195,cross_2,46.67,1.939,46.85,35.737,52.92,Normal
1,195,cross_3,50.2,-0.377,60.1,36.255,47.11,Normal
1,195,cross_4,50.29,0.264,107.74,31.403,46.68,Normal
1,195,cross_5,50.26,0.033,163.68,12.346,45.74,Normal
1,198,cross_0,40.81,6.163,55.27,24.217,63.7,Normal
1,198,cross_1,50.22,0.041,56.76,32.283,45.77,Normal
1,198,cross_2,47.5,2.306,48.3,35.621,54.33,Normal
1,198,cross_3,50.25,0.131,58.45,36.253,46.14,Normal
1,198,cross_4,50.32,0.071,104.66,32.614,45.91,Normal
1,198,cross_5,50.2,-0.146,160.07,13.633,46.18,Normal
1,201,cross_0,43.03,6.16,57.58,23.667,64.11,Normal
1,201,cross_1,50.34,0.321,59.86,32.174,46.92,Normal
1,201,cross_2,48.19,1.911,49.17,35.505,52.83,Normal
1,201,cross_3,50.16,-0.231,56.36,36.252,46.52,Normal
1,201,cross_4,50.4,0.214,101.25,33.825,46.5,Normal
1,201,cross_5,50.31,0.308,156.22,14.922,46.86,Normal
1,204,cross_0,45.34,6.442,60.12,23.214,64.57,Normal
1,204,cross_1,50.34,0.009,63.09,32.105,45.67,Normal
1,204,cross_2,49.47,3.575,50.38,35.395,59.74,Normal
1,204,cross_3,50.19,0.065,54.52,36.25,45.86,Normal
1,204,cross_4,50.38,-0.033,97.9,35.037,45.77,Normal
1,204,cross_5,50.2,-0.316,152.41,16.207,46.86,Normal
1,207,cross_0,46.84,4.159,62.88,22.875,61.51,Normal
1,207,cross_1,50.29,-0.135,66.43,32.077,46.16,Normal
1,207,cross_2,50.29,2.269,51.9,35.296,54.7,Normal
1,207,cross_3,50.33,0.405,52.96,36.25,47.25,Normal
1,207,cross_4,50.14,-0.668,94.63,36.248,48.26,Normal
1,207,cross_5,50.36,0.449,148.61,17.491,47.43,Normal
1,210,cross_0,46.75,-0.242,65.77,22.654,45.83,Normal
1,210,cross_1,50.27,-0.059,69.87,32.089,45.85,Normal
1,210,cross_2,50.39,0.286,53.72,35.209,46.79,Normal
1,210,cross_3,50.36,0.081,51.69,36.25,45.96,Normal
1,210,cross_4,50.38,0.66,91.43,36.259,48.28,Normal
1,210,cross_5,50.29,-0.202,144.83,18.77,46.43,Normal
1,213,cross_0,46.8,0.117,68.77,22.556,45.33,Normal
1,213,cross_1,50.35,0.23,73.39,32.141,46.56,Normal
1,213,cross_2,50.26,-0.375,55.81,35.134,47.12,Normal
1,213,cross_3,50.23,-0.371,50.75,36.25,47.09,Normal
1,213,cross_4,50.36,-0.057,88.32,36.261,45.86,Normal
1,213,cross_5,50.22,-0.19,141.09,20.045,46.37,Normal
1,216,cross_0,46.76,-0.103,71.43,22.581,45.27,Normal
1,216,cross_1,50.28,-0.197,76.6,32.234,46.41,Normal
1,216,cross_2,49.84,-1.162,57.58,35.07,50.17,Normal
1,216,cross_3,50.32,0.25,49.57,36.25,46.63,Normal
1,216,cross_4,50.37,0.03,84.94,36.263,45.76,Normal
1,216,cross_5,50.35,0.365,137.16,21.317,47.09,Normal
1,219,cross_0,46.7,-0.174,74.19,22.731,45.54,Normal
1,219,cross_1,50.35,0.175,79.91,32.366,46.33,Normal
1,219,cross_2,49.65,-0.533,59.58,35.016,47.61,Normal
1,219,cross_3,50.31,-0.036,48.72,36.251,45.82,Normal
1,219,cross_4,50.39,0.058,81.64,36.265,45.88,Normal
1,219,cross_5,50.29,-0.177,133.24,22.585,46.33,Normal
1,222,cross_0,46.66,-0.107,77.66,23.0,45.27,Normal
1,222,cross_1,50.36,0.027,83.82,32.537,45.74,Normal
1,222,cross_2,49.47,-0.496,62.54,34.971,47.42,Normal
1,222,cross_3,50.14,-0.475,49.12,36.251,47.51,Normal
1,222,cross_4,50.15,-0.677,79.01,36.267,48.3,Normal
1,222,cross_5,50.35,0.175,129.67,23.851,46.33,Normal
1,225,cross_0,46.66,0.008,81.76,23.387,44.87,Normal
1,225,cross_1,50.27,-0.244,88.27,32.748,46.59,Normal
1,225,cross_2,49.33,-0.399,66.35,34.935,47.0,Normal
1,225,cross_3,50.25,0.329,50.78,36.25,46.93,Normal
1,225,cross_4,50.38,0.647,77.16,36.269,48.23,Normal
1,225,cross_5,50.13,-0.617,126.52,25.112,48.05,Normal
1,228,cross_0,46.73,0.193,86.48,23.886,45.62,Normal
1,228,cross_1,50.29,0.061,93.26,32.996,45.86,Normal
1,228,cross_2,49.22,-0.285,70.95,34.906,46.53,Normal
1,228,cross_3,50.38,0.335,53.69,36.251,46.98,Normal
1,228,cross_4,50.36,-0.059,76.21,36.271,45.87,Normal
1,228,cross_5,50.34,0.571,123.83,26.37,47.92,Normal
1,231,cross_0,46.83,0.274,90.61,24.489,45.97,Normal
1,231,cross_1,50.33,0.123,97.73,33.28,46.12,Normal
1,231,cross_2,48.91,-0.885,74.87,34.885,48.85,Normal
1,231,cross_3,50.14,-0.651,55.99,36.25,48.19,Normal
1,231,cross_4,50.24,-0.325,74.87,36.272,46.91,Normal
1,231,cross_5,50.16,-0.484,120.89,27.626,47.53,Normal
1,234,cross_0,46.72,-0.314,95.33,25.189,46.11,Normal
1,234,cross_1,50.27,-0.178,102.71,33.601,46.33,Normal
1,234,cross_2,48.68,-0.625,79.54,34.871,47.77,Normal
1,234,cross_3,50.26,0.333,59.43,36.25,46.95,Normal
1,234,cross_4,50.39,0.395,74.53,36.273,47.22,Normal
1,234,cross_5,50.2,0.11,118.48,28.878,46.04,Normal
1,237,cross_0,46.83,0.324,100.05,25.978,46.17,Normal
1,237,cross_1,50.39,0.33,107.7,33.958,46.96,Normal
1,237,cross_2,48.53,-0.429,84.22,34.863,46.95,Normal
1,237,cross_3,50.16,-0.266,63.08,36.249,46.66,Normal
1,237,cross_4,50.23,-0.441,74.52,36.274,47.37,Normal
1,237,cross_5,50.37,0.464,116.23,30.127,47.5,Normal
1,240,cross_0,46.73,-0.28,105.35,26.836,45.97,Normal
1,240,cross_1,50.26,-0.347,113.19,34.341,47.0,Normal
1,240,cross_2,48.53,0.026,89.58,34.861,45.34,Normal
1,240,cross_3,50.17,0.014,67.76,36.248,45.65,Normal
1,240,cross_4,50.27,0.128,75.64,36.275,46.13,Normal
1,240,cross_5,50.17,-0.537,114.66,31.375,47.74,Normal
1,243,cross_0,46.82,0.256,110.08,27.718,45.9,Normal
1,243,cross_1,50.3,0.112,118.17,34.729,46.07,Normal
1,243,cross_2,48.46,-0.207,94.28,34.867,46.05,Normal
1,243,cross_3,50.2,0.094,71.71,36.247,45.98,Normal
1,243,cross_4,50.14,-0.363,76.32,36.275,47.04,Normal
1,243,cross_5,50.37,0.529,112.79,32.62,47.75,Normal
1,246,cross_0,46.66,-0.456,115.37,28.583,46.66,Normal
1,246,cross_1,50.21,-0.263,123.66,35.096,46.65,Normal
1,246,cross_2,48.14,-0.882,99.65,34.879,48.68,Normal
1,246,cross_3,50.32,0.314,76.62,36.246,46.88,Normal
1,246,cross_4,50.29,0.405,78.16,36.276,47.24,Normal
1,246,cross_5,50.32,-0.121,111.69,33.864,46.11,Normal
1,249,cross_0,46.88,0.599,120.1,29.387,47.28,Normal
1,249,cross_1,50.29,0.215,128.64,35.419,46.48,Normal
1,249,cross_2,48.26,0.328,104.35,34.898,46.49,Normal
1,249,cross_3,50.38,0.175,80.78,36.246,46.34,Normal
1,249,cross_4,50.25,-0.111,79.48,36.276,46.06,Normal
1,249,cross_5,50.26,-0.166,110.25,35.106,46.28,Normal
1,252,cross_0,46.69,-0.529,125.39,30.116,46.96,Normal
1,252,cross_1,50.4,0.305,134.14,35.68,46.87,Normal
1,252,cross_2,47.99,-0.761,109.72,34.924,48.16,Normal
1,252,cross_3,50.3,-0.225,85.84,36.245,46.52,Normal
1,252,cross_4,50.27,0.066,81.96,36.276,45.88,Normal
1,252,cross_5,50.15,-0.322,109.65,35.428,46.87,Normal
1,255,cross_0,46.88,0.543,130.12,30.769,47.06,Normal
1,255,cross_1,50.14,-0.714,139.11,35.885,48.44,Normal
1,255,cross_2,48.1,0.327,114.43,34.958,46.45,Normal
1,255,cross_3,50.39,0.265,90.16,36.245,46.71,Normal
1,255,cross_4,50.35,0.217,83.83,36.276,46.5,Normal
1,255,cross_5,50.39,0.681,108.67,35.687,48.37,Normal
1,258,cross_0,46.81,-0.203,134.28,31.348,45.68,Normal
1,258,cross_1,50.34,0.56,143.58,36.037,47.87,Normal
1,258,cross_2,47.95,-0.421,118.5,34.999,46.79,Normal
1,258,cross_3,50.27,-0.354,93.76,36.245,47.03,Normal
1,258,cross_4,50.28,-0.202,85.06,36.275,46.42,Normal
1,258,cross_5,50.21,-0.51,107.22,35.889,47.64,Normal
1,261,cross_0,46.78,-0.08,137.89,31.855,45.18,Normal
1,261,cross_1,50.2,-0.407,147.55,36.144,47.23,Normal
